hairColor,hair color,Person,xsd:string,http://dbpedia.org/ontology/hairColor,3302
hairColour,hair colour,Person,xsd:string,,
hand,hand,Person,owl:Thing,,
handedness,handedness,Person,owl:Thing,,
handisport,handisport,Person,xsd:string,,
hasNaturalBust,has natural bust,Person,xsd:string,,
hipSize,hip size,Person,Length,http://dbpedia.org/ontology/hipSize,384
homage,homage,Person,xsd:string,,
hometown,home town,Agent,Settlement,http://dbpedia.org/ontology/hometown,93101
idNumber,id number,Person,xsd:nonNegativeInteger,,
ideology,ideology,Agent,Ideology,http://dbpedia.org/ontology/ideology,15038
iihfHof,lihf hof,Person,xsd:string,,
imposedDanseCompetition,imposed danse competition,Person,xsd:string,,
imposedDanseScore,imposed danse score,Person,xsd:string,,
individualisedPnd,individualised PND number,Person,xsd:nonNegativeInteger,,
juniorSeason,junior season,Agent,owl:Thing,,
juniorYearsEndYear,junior years end year,Person,xsd:gYear,,
juniorYearsStartYear,junior years start year,Person,xsd:gYear,,
jutsu,jutsu,Person,xsd:string,,
killedBy,killed by,Person,xsd:string,,
lahHof,lah hof,Person,xsd:string,,
leadership,leadership,Person,xsd:string,,
leagueManager,league manager,Person,SportsLeague,,
linguisticsTradition,linguistics tradition,Person,owl:Thing,,
littlePoolRecord,little pool record,Person,xsd:string,,
livingPlace,livingPlace,Person,Place,,
mainDomain,main domain,Person,owl:Thing,,
managerSeason,manager season,Agent,owl:Thing,,
mastersWins,masters wins,Person,skos:Concept,,
matchPoint,match point,Person,xsd:string,,
measurements,measurements,Person,xsd:string,,
media,media,Person,owl:Thing,,
member,member,Person,xsd:string,,
militaryService,military service,Person,MilitaryService,,
mood,mood,Person,xsd:string,,
mother,mother,Person,Person,,
mount,mount,Person,xsd:string,,
movie,movie,Person,Film,,
nationalSelection,national selection,Agent,owl:Thing,,
nationalTeamMatchPoint,national team match point,Person,xsd:string,,
nationalTeamYear,national team year,Person,xsd:string,,
nationalTournament,National tournament,Person,Tournament,,
nationalTournamentBronze,national tournament bronze,Person,xsd:nonNegativeInteger,,
nationalTournamentGold,national tournament gold,Person,xsd:nonNegativeInteger,,
nationalTournamentSilver,national tournament silver,Person,xsd:nonNegativeInteger,,
nationality,nationality,Person,Country,http://dbpedia.org/ontology/nationality,130523
networth,networth,Person,Currency,http://dbpedia.org/ontology/networth,2090
nndbId,NNDB id,Person,xsd:string,,
nonProfessionalCareer,non professional career,Person,xsd:string,,
notableIdea,notableIdea,Person,owl:Thing,http://dbpedia.org/ontology/notableIdea,1284
noteOnRestingPlace,note on resting place,Person,xsd:string,,
numberOfRun,number of run,Person,xsd:nonNegativeInteger,,
olympicGames,olympic games,Person,Tournament,,
olympicGamesBronze,olympic games bronze,Person,xsd:nonNegativeInteger,,
olympicGamesGold,olympic games gold,Person,xsd:nonNegativeInteger,,
olympicGamesSilver,olympic games silver,Person,xsd:nonNegativeInteger,,
olympicGamesWins,olympic games wins,Person,xsd:string,,
opponent,opponent,Person,Person,http://dbpedia.org/ontology/opponent,263
orientation,orientation,Person,xsd:string,,
originalDanseCompetition,original danse competititon,Person,xsd:string,,
originalDanseScore,original danse score,Person,xsd:string,,
otherActivity,other activity,Person,xsd:string,,
otherFunction,other function,Person,owl:Thing,,
otherMedia,other media,Person,PeriodicalLiterature,,
otherOccupation,other occupation,Person,PersonFunction,,
owns,owns,Agent,Thing,,
parent,parent,Person,Person,http://dbpedia.org/ontology/parent,29694
parliamentaryGroup,parliamentary group,Person,xsd:string,,
particularSign,particular sign,Person,xsd:string,,
partner,partner,Person,Person,http://dbpedia.org/ontology/partner,1668
patent,patent,Person,owl:Thing,,
penisLength,penis length,Person,xsd:string,,
personFunction,person function,Person,PersonFunction,http://dbpedia.org/ontology/personFunction,4473
pgaWins,pga wins,Person,skos:Concept,,
philosophicalSchool,philosophicalSchool,Person,owl:Thing,http://dbpedia.org/ontology/philosophicalSchool,2092
piercing,piercing,Person,xsd:string,,
placeOfBurial,place of burial,Person,Place,http://dbpedia.org/ontology/placeOfBurial,1402
playerSeason,player season,Agent,owl:Thing,,
playerStatus,player status,Person,xsd:string,,
podium,podium,Person,xsd:nonNegativeInteger,,
polePosition,pole position,Person,xsd:nonNegativeInteger,,
politicalFunction,political function,Person,xsd:string,,
profession,profession,Person,owl:Thing,http://dbpedia.org/ontology/profession,15598
project,project,Person,Project,,
pseudonym,pseudonym,Person,rdf:langString,http://dbpedia.org/ontology/pseudonym,3364
publication,publication,Person,xsd:string,,
raceWins,race wins,Person,xsd:nonNegativeInteger,,
radio,radio,Person,RadioStation,,
regionalCouncil,regional council,Agent,TermOfOffice,,
reign,reign,Person,xsd:string,,
reignName,reign name,Person,xsd:string,,
relatedFunctions,related functions,Person,List,,
relation,relation,Person,Person,http://dbpedia.org/ontology/relation,9368
relative,relative,Person,Person,http://dbpedia.org/ontology/relative,15834
residence,residence,Person,Place,http://dbpedia.org/ontology/residence,69284
restingDate,resting date,Person,xsd:date,,
restingPlace,resting place,Person,Place,http://dbpedia.org/ontology/restingPlace,24384
restingPlacePosition,resting place position,Person,geo:SpatialThing,http://dbpedia.org/ontology/restingPlacePosition,538
retirementDate,retirement date,Person,xsd:date,,
roleInEvent,A Person's role in an event,Agent,Event,,
salary,salary,Person,Currency,http://dbpedia.org/ontology/salary,406
scene,scene,Person,xsd:string,,
school,school,Person,EducationalInstitution,http://dbpedia.org/ontology/school,5614
season,season,Agent,owl:Thing,http://dbpedia.org/ontology/season,10915
seasonManager,season manager,Person,xsd:string,,
second,second,Person,xsd:nonNegativeInteger,,
seiyu,seiyu,Person,Person,,
sentence,sentence,Person,xsd:string,,
sex,sex,Person,xsd:string,http://dbpedia.org/ontology/sex,4036
sexualOrientation,sexual orientation,Person,owl:Thing,,
shoeNumber,shoe number,Person,xsd:positiveInteger,http://dbpedia.org/ontology/shoeNumber,25
shoeSize,shoe size,Person,xsd:string,http://dbpedia.org/ontology/shoeSize,376
shoot,shoot,Person,xsd:string,,
shortProgCompetition,short prog competition,Person,xsd:string,,
shortProgScore,short prog score,Person,xsd:string,,
sibling,sibling,Person,Person,,
signature,signature,Person,xsd:string,http://dbpedia.org/ontology/signature,1912
significantProject,significant project,Person,owl:Thing,http://dbpedia.org/ontology/significantProject,1382
skinColor,skin color,Person,xsd:string,,
specialTrial,special trial,Person,xsd:nonNegativeInteger,,
speciality,speciality,Person,xsd:string,,
sportDiscipline,sport discipline,Person,Sport,,
sportsFunction,sports function,Person,xsd:string,,
spouse,spouse,Person,Person,http://dbpedia.org/ontology/spouse,37781
spouseName,spouse name,Person,xsd:string,,
startCareer,start career,Person,xsd:string,,
startReign,start reign,Person,skos:Concept,,
startWct,start xct,Person,xsd:string,,
startWqs,start wqs,Person,xsd:string,,
stateOfOrigin,state of origin,Person,Country,http://dbpedia.org/ontology/stateOfOrigin,38461
statusManager,status manager,Person,xsd:string,,
student,student,Person,Person,,
tattoo,tattoo,Person,xsd:string,,
teamManager,team manager,Person,SportsTeam,,
temple,temple,Person,xsd:string,,
templeYear,temple year,Person,xsd:string,,
tessitura,tessitura,Person,xsd:string,,
third,third,Person,xsd:nonNegativeInteger,,
titleDate,title date,Person,xsd:date,,
tvShow,tvShow,Person,TelevisionShow,,
usopenWins,usopen wins,Person,skos:Concept,,
usurper,usurper,Person,Person,,
victory,victory,Person,xsd:nonNegativeInteger,,
victoryAsMgr,victory as manager,Person,xsd:nonNegativeInteger,,
victoryPercentageAsMgr,victory percentage as manager,Person,xsd:double,,
waistSize,waist size,Person,Length,http://dbpedia.org/ontology/waistSize,394
weddingParentsDate,Parents Wedding Date,Person,xsd:date,,
world,world,Person,skos:Concept,,
worldTournament,world tournament,Person,Tournament,,
worldTournamentBronze,world tournament bronze,Person,xsd:nonNegativeInteger,,
worldTournamentGold,world tournament gold,Person,xsd:nonNegativeInteger,,
worldTournamentSilver,world tournament silver,Person,xsd:nonNegativeInteger,,
